00000628,00000001,18
00000644,00000001,43
0000063c,00000001,56
00000644,00000001,127
00000648,00000001,163
00000628,00000001,165
0000063c,00000001,182
0000064c,00000001,255
00000638,00000007,362
00000644,00000001,407
00000638,00000007,439
0000063c,00000001,462
00000644,00000001,477
0000064c,00000001,549
00000638,00000007,607
00000648,00000001,611
0000064c,00000001,696
00000630,00000002,804
000006cc,00000011,937
00000680,00000002,965
000006b8,00000011,1002
000006e8,00000007,1083
000006bc,00000001,1123
000006d4,00000001,1194
000006e8,00000007,1236
000006d4,00000001,1296
000006c4,00000002,1346
000006e8,00000007,1440
00000688,0000000a,1552
000006b8,00000011,1614
00000678,00000001,1626
000006ec,00000001,1656
000006d4,00000001,1687
000006ac,00000002,1768
000006b8,00000011,1903
000006fc,00000001,1931
00000680,00000002,2002
000006f4,00000001,2116
00000678,00000001,2238
000006bc,00000001,2347
000006dc,00000002,2403
00000680,00000002,2495
000006e8,00000007,2562
000006d4,00000001,2571
000006f4,00000001,2643
000006dc,00000002,2760
00000688,0000000a,2810
0000068c,00000001,2870
00000678,00000001,2969
00000760,00000011,3099
00000790,00000001,3124
00000720,00000001,3145
00000768,00000001,3220
00000788,00000001,3258
0000070c,00000001,3261
0000071c,0000000a,3272
0000078c,00000001,3344
00000740,00000002,3386
00000740,00000002,3471
00000788,00000001,3513
0000071c,0000000a,3544
0000077c,00000007,3568
00000760,00000011,3592
00000770,00000002,3664
00000738,00000001,3707
0000074c,00000011,3793
0000074c,00000011,3844
00000770,00000002,3919
0000070c,00000001,4043
0000077c,00000007,4112
0000074c,00000011,4218
0000071c,0000000a,4275
00000714,00000002,4283
00000738,00000001,4370
00000760,00000011,4510
0000070c,00000001,4604
00000714,00000002,4708
0000078c,00000001,4823
0000071c,0000000a,4938
00000740,00000002,4967
00000720,00000001,5049
000006f4,00000001,5155
00000678,00000001,5192
00000688,0000000a,5220
000006c4,00000002,5286
000006d4,00000001,5338
0000068c,00000001,5365
000006ec,00000001,5443
00000678,00000001,5498
000006dc,00000002,5527
0000068c,00000001,5620
000006f8,00000001,5683
000006cc,00000011,5795
00000680,00000002,5908
000006f8,00000001,5955
00000688,0000000a,6036
000006fc,00000001,6143
0000068c,00000001,6249
00000688,0000000a,6359
000006f8,00000001,6465
00000680,00000002,6588
