000007bc,00000001,18
000007f8,00000002,44
000007cc,00000002,57
000007f0,00000001,127
00000810,00000002,166
00000804,00000011,179
00000810,00000002,183
00000838,00000001,255
00000834,00000007,362
00000834,00000007,413
000007f0,00000001,433
00000848,00000001,462
00000840,00000001,477
000007cc,00000002,550
000007d4,0000000a,610
00000834,00000007,617
00000834,00000007,702
000007c4,00000001,803
00000848,00000001,921
00000810,00000002,965
00000838,00000001,986
000007d4,0000000a,1086
00000840,00000001,1123
000007c4,00000001,1194
000007d4,0000000a,1239
000007c4,00000001,1296
00000844,00000001,1345
000007d4,0000000a,1443
00000818,00000011,1559
00000838,00000001,1598
00000808,00000001,1626
000007d8,00000001,1656
000007c4,00000001,1687
00000834,00000007,1773
00000838,00000001,1887
00000804,00000011,1947
00000810,00000002,2002
00000840,00000001,2116
000007c4,00000001,2238
00000808,00000001,2347
00000828,00000002,2403
000007cc,00000002,2495
00000834,00000007,2562
00000820,00000001,2571
00000840,00000001,2643
00000828,00000002,2760
000007d4,0000000a,2810
000007d8,00000001,2870
000007c4,00000001,2969
00000834,00000007,3089
000007d4,0000000a,3133
00000804,00000011,3161
00000838,00000001,3220
000007c4,00000001,3258
000007d8,00000001,3261
000007f8,00000002,3264
000007cc,00000002,3345
00000810,00000002,3386
00000810,00000002,3471
000007c4,00000001,3513
000007f8,00000002,3536
00000844,00000001,3562
00000834,00000007,3582
00000840,00000001,3663
00000808,00000001,3707
00000818,00000011,3793
00000818,00000011,3844
00000840,00000001,3918
000007d8,00000001,4043
00000844,00000001,4106
000007d4,0000000a,4211
00000844,00000001,4266
00000840,00000001,4282
000007c4,00000001,4370
000007f8,00000002,4495
00000838,00000001,4604
00000840,00000001,4707
00000828,00000002,4824
00000844,00000001,4929
000007cc,00000002,4967
00000848,00000001,5049
000007d8,00000001,5155
00000810,00000002,5212
00000840,00000001,5285
00000848,00000001,5338
00000818,00000011,5381
000007d4,0000000a,5452
00000804,00000011,5514
000007c4,00000001,5526
00000818,00000011,5636
000007f0,00000001,5683
00000844,00000001,5779
00000808,00000001,5907
000007f0,00000001,5955
00000810,00000002,6028
000007f8,00000002,6144
000007d4,0000000a,6258
000007cc,00000002,6351
00000840,00000001,6465
000007c4,00000001,6587
00000828,00000002,6633
000007c4,00000001,6655
00000810,00000002,6732
00000828,00000002,6786
000007f8,00000002,6797
00000808,00000001,6866
000007d8,00000001,6981
00000820,00000001,7039
000007d4,0000000a,7125
00000808,00000001,7155
00000804,00000011,7255
00000838,00000001,7297
00000818,00000011,7326
00000834,00000007,7387
00000820,00000001,7481
00000820,00000001,7515
00000828,00000002,7517
00000810,00000002,7582
000007d8,00000001,7678
000007cc,00000002,7728
000007f8,00000002,7766
00000818,00000011,7768
00000848,00000001,7776
00000834,00000007,7778
000007c4,00000001,7794
00000810,00000002,7820
000007c4,00000001,7896
000007cc,00000002,8000
000007d4,0000000a,8060
00000834,00000007,8067
00000848,00000001,8082
00000804,00000011,8173
00000848,00000001,8259
000007c4,00000001,8294
000007cc,00000002,8313
000007f8,00000002,8402
00000848,00000001,8446
000007cc,00000002,8534
00000828,00000002,8578
000007c4,00000001,8583
000007d4,0000000a,8611
00000810,00000002,8677
00000804,00000011,8809
00000840,00000001,8852
00000804,00000011,8962
000007cc,00000002,9010
00000848,00000001,9041
00000820,00000001,9137
00000804,00000011,9217
000007cc,00000002,9282
000007d4,0000000a,9410
00000810,00000002,9510
00000810,00000002,9612
000007f8,00000002,9711
000007c4,00000001,9824
000007d8,00000001,9929
000007f8,00000002,9983
00000828,00000002,10074
00000838,00000001,10126
000007c4,00000001,10130
00000804,00000011,10135
00000840,00000001,10212
00000838,00000001,10269
000007f0,00000001,10362
00000838,00000001,10473
000007cc,00000002,10530
00000838,00000001,10541
000007cc,00000002,10564
00000808,00000001,10654
00000844,00000001,10764
00000848,00000001,10867
000007c4,00000001,10919
00000804,00000011,11009
00000810,00000002,11047
00000840,00000001,11137
000007f8,00000002,11248
00000820,00000001,11286
00000838,00000001,11306
000007cc,00000002,11397
00000828,00000002,11458
000007f0,00000001,11552
00000840,00000001,11664
000007d8,00000001,11704
00000808,00000001,11708
000007f0,00000001,11790
00000804,00000011,11927
00000834,00000007,12042
000007d8,00000001,12163
00000848,00000001,12227
00000844,00000001,12243
000007f8,00000002,12268
000007f8,00000002,12360
00000834,00000007,12491
000007f0,00000001,12596
000007f8,00000002,12717
00000828,00000002,12825
00000844,00000001,12862
00000840,00000001,12929
00000820,00000001,13027
000007f8,00000002,13125
000007d8,00000001,13173
00000808,00000001,13262
000007cc,00000002,13308
00000808,00000001,13330
000007d4,0000000a,13351
00000808,00000001,13364
000007c4,00000001,13391
00000820,00000001,13469
00000820,00000001,13588
000007d4,0000000a,13657
00000834,00000007,13732
00000848,00000001,13781
00000804,00000011,13889
00000838,00000001,13999
00000818,00000011,14062
00000834,00000007,14140
000007c4,00000001,14258
00000834,00000007,14310
00000810,00000002,14376
000007d4,0000000a,14582
000007cc,00000002,14607
00000840,00000001,14687
000007c4,00000001,14792
000007d4,0000000a,14854
00000834,00000007,14878
00000844,00000001,14909
00000820,00000001,14921
00000828,00000002,15008
000007d4,0000000a,15075
00000828,00000002,15161
000007d4,0000000a,15296
00000844,00000001,15351
00000820,00000001,15431
00000844,00000001,15487
000007f8,00000002,15682
00000820,00000001,15788
00000818,00000011,15922
00000840,00000001,16013
000007c4,00000001,16067
00000808,00000001,16142
00000828,00000002,16181
00000820,00000001,16247
00000820,00000001,16281
00000808,00000001,16346
00000834,00000007,16466
000007d4,0000000a,16510
000007c4,00000001,16533
00000804,00000011,16538
00000804,00000011,16555
00000810,00000002,16559
000007cc,00000002,16569
000007cc,00000002,16654
00000818,00000700,16677
00000820,00000001,16696
00000828,00000002,16783
000007d4,0000000a,16850
00000844,00000001,16871
00000810,00000002,16967
000007f8,00000002,17015
00000818,00000011,17102
00000820,00000001,17138
00000848,00000001,17212
00000840,00000001,17329
000007cc,00000002,17453
00000810,00000002,17579
000007f0,00000001,17625
00000828,00000002,17650
000007cc,00000002,17742
00000834,00000007,17809
00000804,00000011,17898
00000810,00000002,17987
00000804,00000011,18102
00000804,00000011,18136
000007d8,00000001,18185
00000844,00000001,18282
00000818,00000011,18411
00000810,00000002,18453
000007d8,00000001,18481
000007cc,00000002,18497
00000818,00000011,18520
00000834,00000007,18530
000007f0,00000001,18550
00000834,00000007,18649
000007f0,00000001,18754
000007f8,00000002,18875
00000844,00000001,18918
000007f0,00000001,18924
000007d4,0000000a,19016
000007f8,00000002,19215
000007f8,00000002,19266
00000820,00000001,19355
000007d8,00000001,19416
000007c4,00000001,19447
00000834,00000007,19533
