00000800,00000001,18
00000888,00000003,45
00000900,00000001,56
00000888,00000003,129
00000908,00000002,164
00000864,00000004,168
00000900,00000001,182
0000089c,00000015,275
00000878,0000000d,368
000008f8,00000001,433
0000087c,00000002,463
00000904,00000002,478
0000089c,00000015,569
000008f8,00000001,601
00000890,00000003,613
000008a8,00000001,803
00000864,00000004,924
0000086c,00000002,965
00000878,0000000d,998
000008b4,00000001,1077
000008dc,00000006,1128
00000864,00000004,1197
000008f4,00000008,1237
00000904,00000002,1297
00000888,00000003,1347
000008b4,00000001,1434
00000878,0000000d,1555
000008f4,00000008,1605
0000086c,00000002,1627
000008bc,00000002,1657
00000858,00000002,1688
000008f8,00000001,1767
0000089c,0000048e,1861
000008c8,000005c9,1887
000008bc,00000002,1888
000008d0,00000002,1932
00000908,00000002,2002
000008a8,00000001,2116
00000888,00000003,2240
000008a8,00000001,2347
00000864,00000004,2405
000008a8,00000001,2494
000008a0,00000006,2561
0000086c,00000002,2572
000008bc,00000002,2644
00000864,00000004,2762
00000864,00000004,2804
0000089c,00000015,2890
00000864,00000004,2972
00000908,00000002,3084
00000904,00000002,3125
00000904,00000002,3146
000008b4,00000001,3220
00000890,00000003,3260
000008a8,00000001,3261
000008bc,00000002,3264
000008a0,00000006,3349
0000089c,00000015,3405
000008a0,00000006,3475
000008a8,00000001,3513
000008b4,00000001,3535
000008f4,00000008,3569
000008a8,00000001,3576
000008dc,00000006,3712
00000858,00000002,3778
000008a8,00000001,3828
000008e8,00000002,3919
000008dc,00000006,4048
000008dc,00000006,4111
00000888,00000003,4204
00000890,00000003,4268
00000864,00000004,4285
00000888,00000003,4372
000008d0,00000002,4495
00000900,00000001,4604
000008f4,00000008,4714
00000890,00000003,4825
0000089c,00000015,4949
0000086c,00000002,4967
00000864,00000004,5052
000008c8,000005c9,5143
0000086c,00000002,5156
00000900,00000001,5192
000008f4,00000008,5218
00000890,00000003,5287
000008f8,00000001,5338
0000086c,00000002,5366
000008f8,00000001,5443
000008a8,00000001,5498
000008f4,00000008,5533
00000888,00000003,5622
00000888,00000003,5685
000008f8,00000001,5779
00000904,00000002,5908
0000082c,00000002,5956
0000086c,00000002,6028
000008d0,00000002,6144
000008dc,00000006,6254
000008b4,00000001,6350
00000908,00000002,6466
000008f4,00000008,6594
00000904,00000002,6633
00000858,00000002,6656
000008d0,00000002,6732
0000087c,00000002,6786
000008e8,00000002,6797
00000864,00000004,6869
000008bc,00000002,6982
00000890,00000003,7041
00000908,00000002,7117
000008f8,00000001,7155
000008f8,00000001,7239
0000087c,00000002,7311
000008f8,00000001,7481
000008a8,00000001,7515
000008b4,00000001,7516
0000087c,00000002,7679
000008bc,00000002,7728
000008e8,00000002,7753
00000900,00000001,7776
000008dc,00000006,7777
000008e8,00000002,7795
00000904,00000002,7820
000008b4,00000001,7999
00000908,00000002,8052
000008a8,00000001,8061
000008a8,00000001,8082
00000858,00000002,8158
00000900,00000001,8259
000008bc,00000002,8295
000008a0,00000006,8317
000008d0,00000002,8402
000008f4,00000008,8453
00000904,00000002,8534
00000858,00000002,8578
00000890,00000003,8585
0000087c,00000002,8603
000008e8,00000002,8677
000008c8,000005c9,8777
00000890,00000003,8795
0000086c,00000002,8853
000008c8,000005c9,8861
0000089c,0000048e,8930
00000864,00000004,8949
00000864,00000004,9012
000008c8,000005c9,9061
00000878,0000000d,9149
0000087c,00000002,9202
00000858,00000002,9282
000008e8,00000002,9402
00000900,00000001,9509
000008e8,00000002,9612
000008a8,00000001,9710
00000900,00000001,9824
00000900,00000001,9929
000008a0,00000006,9987
000008e8,00000002,10074
00000904,00000002,10120
00000888,00000003,10128
000008a8,00000001,10130
0000089c,00000015,10232
00000864,00000004,10272
000008b4,00000001,10362
00000888,00000003,10475
000008c8,000005c9,10521
00000904,00000002,10530
000008b4,00000001,10541
000008bc,00000002,10564
00000900,00000001,10654
0000086c,00000002,10765
00000858,00000002,10868
000008b4,00000001,10919
00000858,00000002,10994
000008bc,00000002,11047
00000900,00000001,11137
0000086c,00000002,11248
00000908,00000002,11287
00000904,00000002,11307
0000087c,00000002,11397
0000086c,00000002,11458
000008d0,00000002,11553
00000908,00000002,11665
00000900,00000001,11704
00000864,00000004,11711
00000908,00000002,11791
0000087c,00000002,11912
00000878,0000000d,12048
0000087c,00000002,12164
00000888,00000003,12229
00000858,00000002,12244
00000878,0000000d,12279
000008bc,00000002,12360
000008bc,00000002,12486
000008f8,00000001,12596
000008bc,00000002,12717
000008dc,00000006,12829
000008b4,00000001,12862
000008dc,00000006,12934
0000089c,00000015,13047
00000908,00000002,13125
00000890,00000003,13175
000008bc,00000002,13263
000008dc,00000006,13312
000008f4,00000008,13337
00000850,00000001,13364
00000878,0000000d,13403
00000900,00000001,13469
000008bc,00000002,13589
000008a0,00000006,13653
0000086c,00000002,13727
000008e8,00000002,13782
0000086c,00000002,13874
0000086c,00000002,14000
0000089c,00000015,14066
000008bc,00000002,14135
000008a8,00000001,14258
000008d0,00000002,14305
00000858,00000002,14376
000008f4,00000008,14482
000008a8,00000001,14573
00000858,00000002,14607
00000900,00000001,14687
0000089c,00000560,14717
00000900,00000001,14792
00000850,00000001,14845
00000878,0000000d,14884
000008f8,00000001,14886
00000904,00000002,14910
000008b4,00000001,14921
000008a0,00000006,15071
00000900,00000001,15160
00000904,00000002,15288
00000908,00000002,15352
000008f4,00000008,15438
000008a8,00000001,15487
00000864,00000004,15566
000008dc,00000006,15686
000008f4,00000008,15795
000008a0,00000006,15911
000008b4,00000001,16013
00000864,00000004,16070
000008d0,00000002,16143
000008a8,00000001,16180
000008d0,00000002,16248
00000888,00000003,16283
000008f8,00000001,16346
000008a0,00000006,16384
00000888,00000003,16462
000008c8,000005c9,16487
0000087c,00000002,16502
0000087c,00000002,16523
000008e8,00000002,16534
00000858,00000002,16540
00000904,00000002,16559
000008a0,00000006,16573
000008a8,00000001,16653
000008b4,00000001,16696
000008a0,00000006,16846
000008f8,00000001,16871
0000089c,00000015,16986
000008d0,00000002,17015
00000864,00000004,17089
000008bc,00000002,17139
00000864,00000004,17215
000008d0,00000002,17330
000008b4,00000001,17452
000008b4,00000001,17578
000008e8,00000002,17626
00000900,00000001,17649
00000888,00000003,17743
0000082c,00000002,17804
000008a8,00000001,17882
000008a0,00000006,17991
00000878,0000000d,18098
000008f4,00000008,18127
00000900,00000001,18185
000008c8,000005c9,18262
000008b4,00000001,18282
00000900,00000001,18395
00000908,00000002,18482
000008dc,00000006,18501
00000864,00000004,18507
00000858,00000002,18525
00000888,00000003,18552
000008dc,00000006,18648
00000908,00000002,18755
000008dc,00000006,18879
000008f4,00000008,18925
00000864,00000004,18927
00000858,00000002,19008
00000864,00000004,19116
00000900,00000001,19214
00000890,00000003,19267
00000864,00000004,19358
00000908,00000002,19417
000008a8,00000001,19447
00000888,00000003,19529
00000904,00000002,19584
000008b4,00000001,19595
000008a8,00000001,19804
000008a8,00000001,19930
000008c8,000005c9,19932
000008e8,00000002,20042
000008a0,00000006,20102
00000858,00000002,20174
00000878,0000000d,20314
00000858,00000002,20405
000008e8,00000002,20504
0000086c,00000002,20554
0000089c,00000015,20683
00000890,00000003,20748
00000858,00000002,20794
000008f4,00000008,20795
00000878,0000000d,20808
00000890,00000003,20864
000008d0,00000002,20912
000008f8,00000001,20936
000008b4,00000001,21013
0000089c,00000015,21072
00000890,00000003,21074
000008bc,00000002,21099
00000904,00000002,21128
000008c8,000005c9,21161
000008dc,00000006,21211
000008d0,00000002,21311
000008a8,00000001,21348
0000089c,00000015,21366
00000890,00000003,21431
00000890,00000003,21536
00000900,00000001,21651
000008c8,000005c9,21707
000008dc,00000006,21715
0000086c,00000002,21741
0000089c,00000015,21807
000008bc,00000002,21876
000008a0,00000006,21940
0000086c,00000002,22014
000008c8,000005c9,22106
000008f4,00000008,22139
00000878,0000000d,22268
000008a0,00000006,22371
00000888,00000003,22407
00000888,00000003,22491
00000864,00000004,22614
0000087c,00000002,22657
0000089c,00000015,22763
000008b4,00000001,22851
00000890,00000003,22891
000008a8,00000001,22892
00000908,00000002,23072
000008dc,00000006,23133
0000086c,00000002,23222
000008c8,000005c9,23251
0000089c,00000015,23288
000008b4,00000001,23292
000008f8,00000001,23320
00000888,00000003,23352
000008f4,00000008,23452
0000086c,00000002,23558
00000864,00000004,23664
000008f4,00000008,23704
000008a0,00000006,23768
000008f4,00000008,23883
000008bc,00000002,23998
000008b4,00000001,24122
000008b4,00000001,24185
00000858,00000002,24218
000008bc,00000002,24250
00000864,00000004,24284
000008d0,00000002,24378
000008c8,000005c9,24438
000008e8,00000002,24506
00000864,00000004,24620
00000858,00000002,24722
000008f4,00000008,24828
000008a8,00000001,24919
00000864,00000004,25019
000008a8,00000001,25129
000008dc,00000006,25255
00000864,00000004,25345
000008f8,00000001,25358
00000908,00000002,25383
00000890,00000003,25412
000008f4,00000008,25511
000008f8,00000001,25631
00000904,00000002,25760
00000888,00000003,25873
