00000628,00000001,000ffffe,18
00000630,00000002,000ffffe,300
00000638,00000007,00080443,446
0000063c,00000001,000ffffe,511
00000644,00000001,000ffffe,547
0000063c,00000001,000ffffe,805
000006ac,00000002,000ffffe,1207
00000688,0000000a,00080480,1416
00000680,00000002,000ffffe,1509
00000680,00000002,000ffffe,1560
000006d4,00000001,000ffffe,1585
000006b8,00000011,00080043,1886
000006ec,00000001,000ffffe,2013
00000678,00000001,000ffffe,2085
00000688,0000000a,00080480,2402
000006ac,00000002,000ffffe,2788
0000077c,00000007,00080440,3262
00000760,00000011,00080480,3507
00000758,00000002,000ffffe,3610
00000714,00000002,000ffffe,3909
0000078c,00000001,000ffffe,4058
00000740,00000002,000ffffe,4406
00000760,00000011,00080480,4595
00000780,00000001,000ffffe,4906
00000750,00000001,000ffffe,5070
000006ec,00000001,000ffffe,5392
000006a4,00000001,000ffffe,5825
00000678,00000001,000ffffe,6042
000006bc,00000001,000ffffe,6151
000006dc,00000002,000ffffe,6207
000006ac,00000002,000ffffe,6235
00000688,0000000a,00080480,6529
000006cc,00000011,00080406,6951
000006ec,00000001,000ffffe,7143
0000077c,00000007,00080441,7525
0000078c,00000001,000ffffe,7947
00000768,00000001,000ffffe,8401
00000790,00000001,000ffffe,8900
00000770,00000002,000ffffe,9151
000006cc,00000011,00080400,9531
000006ac,00000002,000ffffe,9699
000006e8,00000007,00080480,9796
000006bc,00000001,000ffffe,10108
000006f8,00000001,000ffffe,10507
000006dc,00000002,000ffffe,10708
000006cc,00000011,00080406,11095
00000750,00000001,000ffffe,11505
00000714,00000002,000ffffe,11959
00000750,00000001,000ffffe,12185
0000071c,0000000a,00080443,12308
00000768,00000001,000ffffe,12596
0000074c,00000011,00080054,12761
00000780,00000001,000ffffe,12820
0000070c,00000001,000ffffe,12858
00000738,00000001,000ffffe,13117
0000078c,00000001,000ffffe,13247
00000688,0000000a,00080480,13593
00000680,00000002,000ffffe,13754
00000680,00000002,000ffffe,13839
000006d4,00000001,000ffffe,13881
000006f8,00000001,000ffffe,13903
000006cc,00000011,00080402,14202
000006f8,00000001,000ffffe,14328
00000680,00000002,000ffffe,14672
0000068c,00000001,000ffffe,14843
000006b8,00000011,0008005d,15185
000006fc,00000001,000ffffe,15604
00000768,00000001,000ffffe,15822
0000070c,00000001,000ffffe,16203
00000738,00000001,000ffffe,16394
0000078c,00000001,000ffffe,16490
0000077c,00000007,00080444,16816
00000738,00000001,000ffffe,17210
0000070c,00000001,000ffffe,17682
000006ac,00000002,000ffffe,18191
000006b8,00000011,00080062,18700
00000678,00000001,000ffffe,19171
000006b8,00000011,00080064,19431
000006dc,00000002,000ffffe,19778
00000738,00000001,000ffffe,20198
00000770,00000002,000ffffe,20410
0000078c,00000001,000ffffe,20515
0000071c,0000000a,00080443,20817
00000780,00000001,000ffffe,20955
0000071c,0000000a,00080444,21038
00000740,00000002,000ffffe,21339
00000750,00000001,000ffffe,21493
0000070c,00000001,000ffffe,21571
00000740,00000002,000ffffe,21883
000006f8,00000001,000ffffe,22038
000006c4,00000002,000ffffe,22389
000006ec,00000001,000ffffe,22835
000006fc,00000001,000ffffe,23059
000006cc,00000011,00080405,23459
000006fc,00000001,000ffffe,23875
00000768,00000001,000ffffe,24331
0000070c,00000001,000ffffe,24831
00000788,00000001,000ffffe,25321
0000074c,00000011,0008006c,25822
00000770,00000002,000ffffe,26050
00000788,00000001,000ffffe,26171
000006fc,00000001,000ffffe,26472
000006f4,00000001,000ffffe,26623
000006ac,00000002,000ffffe,26700
000006cc,00000011,00080402,27025
000006ec,00000001,000ffffe,27404
000006bc,00000001,000ffffe,27602
000006a4,00000001,000ffffe,27973
0000068c,00000001,000ffffe,28159
00000768,00000001,000ffffe,28492
00000750,00000001,000ffffe,28659
0000074c,00000011,0008006f,28759
00000788,00000001,000ffffe,29057
00000720,00000001,000ffffe,29454
0000078c,00000001,000ffffe,29653
00000780,00000001,000ffffe,29753
00000788,00000001,000ffffe,30043
00000758,00000002,000ffffe,30429
000006a4,00000001,000ffffe,30621
000006fc,00000001,000ffffe,30718
000006f4,00000001,000ffffe,30767
000006ac,00000002,000ffffe,30793
00000680,00000002,000ffffe,30806
000006c4,00000002,000ffffe,30813
000006e8,00000007,00080480,30822
000006f4,00000001,000ffffe,31090
000006f8,00000001,000ffffe,31499
000006fc,00000001,000ffffe,31704
00000678,00000001,000ffffe,31807
00000680,00000002,000ffffe,31860
000006e8,00000007,00080480,32131
000006cc,00000011,00080407,32546
00000740,00000002,000ffffe,32734
00000740,00000002,000ffffe,32836
00000750,00000001,000ffffe,33126
0000070c,00000001,000ffffe,33272
00000740,00000002,000ffffe,33618
00000758,00000002,000ffffe,33791
00000768,00000001,000ffffe,33877
00000720,00000001,000ffffe,33921
00000768,00000001,000ffffe,34183
00000740,00000002,000ffffe,34587
000006d4,00000001,000ffffe,34788
000006cc,00000011,00080401,35177
000006cc,00000011,00080402,35364
00000680,00000002,000ffffe,35443
000006f4,00000001,000ffffe,35761
000006a4,00000001,000ffffe,35921
000006fc,00000001,000ffffe,36273
000006ac,00000002,000ffffe,36722
00000750,00000001,000ffffe,37185
00000714,00000002,000ffffe,37690
0000070c,00000001,000ffffe,38181
00000768,00000001,000ffffe,38667
000006bc,00000001,000ffffe,39150
000006dc,00000002,000ffffe,39393
000006f8,00000001,000ffffe,39753
000006cc,00000011,00080403,39950
000006f8,00000001,000ffffe,40025
000006d4,00000001,000ffffe,40071
00000680,00000002,000ffffe,40335
000006f4,00000001,000ffffe,40466
000006e8,00000007,00080480,40810
00000758,00000002,000ffffe,41246
00000758,00000002,000ffffe,41467
0000070c,00000001,000ffffe,41577
00000740,00000002,000ffffe,41634
00000714,00000002,000ffffe,41902
00000790,00000001,000ffffe,42307
0000078c,00000001,000ffffe,42782
0000078c,00000001,000ffffe,43020
000006bc,00000001,000ffffe,43379
00000678,00000001,000ffffe,43559
000006bc,00000001,000ffffe,43889
00000688,0000000a,00080480,44335
00000678,00000001,000ffffe,44545
000006c4,00000002,000ffffe,44656
000006f4,00000001,000ffffe,44950
000006cc,00000011,00080407,45114
0000077c,00000007,00080440,45450
0000078c,00000001,000ffffe,45889
0000070c,00000001,000ffffe,46112
00000768,00000001,000ffffe,46224
0000070c,00000001,000ffffe,46520
00000788,00000001,000ffffe,46908
00000738,00000001,000ffffe,47374
000006a4,00000001,000ffffe,48132
000006e8,00000007,00080480,48265
000006c4,00000002,000ffffe,48324
000006c4,00000002,000ffffe,48596
000006c4,00000002,000ffffe,49004
000006c4,00000002,000ffffe,49480
000006b8,00000740,00080096,49734
00000740,00000002,000ffffe,49990
00000750,00000001,000ffffe,50484
0000070c,00000001,000ffffe,50732
00000750,00000001,000ffffe,51096
00000738,00000001,000ffffe,51518
0000068c,00000001,000ffffe,51969
000006c4,00000002,000ffffe,52196
000006a4,00000001,000ffffe,52548
000006dc,00000002,000ffffe,52726
000006f8,00000001,000ffffe,52814
000006cc,00000011,00080404,52875
000006f8,00000001,000ffffe,52882
000006d4,00000001,000ffffe,52894
000006fc,00000001,000ffffe,53172
00000688,0000000a,00080480,53592
00000714,00000002,000ffffe,53790
0000071c,0000000a,00080441,54173
00000720,00000001,000ffffe,54352
00000788,00000001,000ffffe,54686
00000770,00000002,000ffffe,55126
00000768,00000001,000ffffe,55345
00000714,00000002,000ffffe,55728
000006f4,00000001,000ffffe,56158
000006cc,00000011,00080401,56390
000006f8,00000001,000ffffe,56754
0000068c,00000001,000ffffe,57184
000006fc,00000001,000ffffe,57639
000006b8,00000011,000800ac,57883
0000070c,00000001,000ffffe,58221
00000760,00000011,00080480,58654
00000788,00000001,000ffffe,58847
0000070c,00000001,000ffffe,58952
0000071c,0000000a,00080443,59014
0000077c,00000007,00080443,59038
00000760,00000011,00080480,59062
00000790,00000001,000ffffe,59325
00000720,00000001,000ffffe,59465
00000740,00000002,000ffffe,59808
000006ec,00000001,000ffffe,60250
000006f4,00000001,000ffffe,60472
000006b8,00000011,000800af,60871
000006dc,00000002,000ffffe,61048
000006bc,00000001,000ffffe,61383
000006ac,00000002,000ffffe,61824
00000720,00000001,000ffffe,62283
0000077c,00000007,00080442,62791
00000768,00000001,000ffffe,63276
00000714,00000002,000ffffe,63523
00000750,00000001,000ffffe,63885
0000071c,0000000a,00080446,64076
00000678,00000001,000ffffe,64398
000006ec,00000001,000ffffe,64564
000006ec,00000001,000ffffe,64887
000006ac,00000002,000ffffe,65050
0000068c,00000001,000ffffe,65370
000006dc,00000002,000ffffe,65532
000006bc,00000001,000ffffe,65612
000006f4,00000001,000ffffe,65653
00000680,00000002,000ffffe,65675
000006e8,00000007,00080480,65691
00000680,00000002,000ffffe,65692
000006a4,00000001,000ffffe,65966
000006b8,00000011,000800ba,66120
00000738,00000001,000ffffe,66445
00000740,00000002,000ffffe,66617
0000074c,00000011,000800b5,66718
0000078c,00000001,000ffffe,67017
00000720,00000001,000ffffe,67175
00000788,00000001,000ffffe,67526
00000720,00000001,000ffffe,67702
00000758,00000002,000ffffe,68031
0000071c,0000000a,00080447,68475
000006c4,00000002,000ffffe,68925
000006fc,00000001,000ffffe,69425
000006e8,00000007,00080481,69682
00000688,0000000a,00080481,69811
000006fc,00000001,000ffffe,70105
000006f8,00000001,000ffffe,70257
000006b8,00000011,000800c3,70621
00000750,00000001,000ffffe,71051
00000770,00000002,000ffffe,71515
00000740,00000002,000ffffe,71747
00000738,00000001,000ffffe,72102
00000788,00000001,000ffffe,72520
000006dc,00000002,000ffffe,72970
000006f8,00000001,000ffffe,73194
000006cc,00000011,00080401,73323
000006f8,00000001,000ffffe,73364
000006d4,00000001,000ffffe,73393
000006c4,00000002,000ffffe,73409
000006fc,00000001,000ffffe,73416
0000068c,00000001,000ffffe,73692
000006ac,00000002,000ffffe,74103
000006b8,00000011,000800ca,74595
000006bc,00000001,000ffffe,74818
00000740,00000002,000ffffe,74939
00000790,00000001,000ffffe,75238
0000078c,00000001,000ffffe,75628
0000074c,00000011,000800c8,76111
0000071c,0000000a,00080445,76338
0000071c,0000000a,00080446,76695
00000770,00000002,000ffffe,76866
00000790,00000001,000ffffe,76955
00000678,00000001,000ffffe,77272
000006b8,00000011,000800cd,77447
00000680,00000002,000ffffe,77512
000006bc,00000001,000ffffe,77823
000006e8,00000007,00080481,78225
000006b8,00000011,000800d1,78705
0000070c,00000001,000ffffe,79196
00000790,00000001,000ffffe,79450
00000760,00000011,00080481,79833
0000074c,00000011,000800ce,80017
0000078c,00000001,000ffffe,80333
00000770,00000002,000ffffe,80772
00000770,00000002,000ffffe,81231
000006d4,00000001,000ffffe,81460
000006c4,00000002,000ffffe,81816
000006fc,00000001,000ffffe,81993
000006ac,00000002,000ffffe,82323
00000678,00000001,000ffffe,82487
000006f8,00000001,000ffffe,82570
000006b8,00000011,000800d8,82628
000006e8,00000007,00080481,82879
000006bc,00000001,000ffffe,83004
000006ac,00000002,000ffffe,83071
00000714,00000002,000ffffe,83376
00000714,00000002,000ffffe,83529
00000768,00000001,000ffffe,83605
