0000081c,00000009,000ffffe,26
00000934,00000002,000ffffd,300
00000880,00000002,000ffffe,441
000008d0,00000014,000800c1,566
000008bc,00000004,000ffffd,808
000008c4,00000002,000ffffe,1207
00000924,00000001,000ffffe,1407
0000092c,00000001,000ffffe,1508
000008d4,00000002,000ffffe,1560
00000914,00000002,000ffffe,1586
000008f4,000004bb,000801c7,1721
00000934,00000002,000ffffd,1871
00000894,00000002,000ffffe,2014
00000914,00000002,000ffffe,2086
00000894,00000002,000ffffe,2394
000008bc,00000004,000ffffd,2790
00000914,00000002,000ffffe,3257
000008e0,00000004,000ffffd,3494
000008d0,00000014,000800c3,3628
00000920,00000008,00080040,3915
000008bc,00000004,000ffffd,4061
000008fc,00000002,000ffffe,4406
000008c4,00000002,000ffffe,4580
00000894,00000002,000ffffe,4907
000008c4,00000002,000ffffe,5071
000008d4,00000002,000ffffe,5393
0000088c,00000004,000ffffd,5828
00000930,00000002,000ffffe,6043
00000924,00000001,000ffffe,6151
00000934,00000002,000ffffd,6235
000008bc,00000004,000ffffd,6523
00000880,00000002,000ffffe,6936
000008d4,00000002,000ffffe,7144
00000908,00000006,000ffffd,7524
0000088c,00000004,000ffffd,7950
00000920,00000008,00080040,8408
000008a0,0000000c,00080040,8911
00000908,00000006,000ffffd,9155
00000930,00000002,000ffffe,9516
0000088c,00000004,000ffffd,9701
00000894,00000002,000ffffe,9791
00000880,00000002,000ffffe,10109
00000934,00000002,000ffffd,10508
00000934,00000002,000ffffd,10708
00000880,00000002,000ffffe,11080
000008c4,00000002,000ffffe,11506
00000934,00000002,000ffffd,11959
00000920,00000008,00080040,12192
000008e0,00000004,000ffffd,12302
000008c4,00000002,000ffffe,12597
00000920,00000008,00080040,12752
000008e8,00000002,000ffffe,12821
000008d4,00000002,000ffffe,12859
000008d0,00000014,000800c3,13136
0000092c,00000001,000ffffe,13247
000008a0,0000000c,00080040,13595
000008fc,00000002,000ffffe,13754
0000092c,00000001,000ffffe,13838
00000880,00000002,000ffffe,13882
00000894,00000002,000ffffe,13904
000008bc,00000004,000ffffd,14189
000008d0,00000014,000800c3,14347
00000934,00000002,000ffffd,14672
0000092c,00000001,000ffffe,15169
000008fc,00000002,000ffffe,15605
00000934,00000002,000ffffd,15823
000008f4,000004bb,000801a9,16053
00000880,00000002,000ffffe,16204
000008d0,00000014,000800c2,16509
000008d0,00000014,000800c3,16829
00000924,00000001,000ffffe,17210
000008f4,000004bb,000801de,17604
000008d4,00000002,000ffffe,17683
00000924,00000001,000ffffe,18190
00000934,00000002,000ffffd,18685
000008c4,00000002,000ffffe,19172
00000934,00000002,000ffffd,19416
0000088c,00000004,000ffffd,19780
00000894,00000002,000ffffe,20199
00000908,00000006,000ffffd,20414
00000934,00000002,000ffffd,20516
0000088c,00000004,000ffffd,20811
000008d4,00000002,000ffffe,20956
00000894,00000002,000ffffe,21030
000008c4,00000002,000ffffe,21494
000008a4,00000002,000ffffe,21572
000008a4,00000002,000ffffe,21883
00000880,00000002,000ffffe,22039
000008e8,00000002,000ffffe,22389
000008f4,000004bb,000801ee,22548
0000092c,00000001,000ffffe,22835
000008e8,00000002,000ffffe,23060
00000914,00000002,000ffffe,23444
000008c4,00000002,000ffffe,23876
0000088c,00000004,000ffffd,25324
000008f4,000004bb,0008018a,25541
00000920,00000008,00080041,25813
000008f4,000004bb,000801d8,26041
00000930,00000002,000ffffe,26050
00000880,00000002,000ffffe,26172
0000088c,00000004,000ffffd,26475
000008fc,00000002,000ffffe,26624
0000092c,00000001,000ffffe,26699
000008d0,00000014,000800c1,27028
00000894,00000002,000ffffe,27405
00000880,00000002,000ffffe,27603
00000880,00000002,000ffffe,27974
000008c4,00000002,000ffffe,28160
00000934,00000002,000ffffd,28493
000008c4,00000002,000ffffe,28660
000008e8,00000002,000ffffe,28744
000008a4,00000002,000ffffe,29058
000008e8,00000002,000ffffe,29455
000008e0,00000004,000ffffd,29656
000008e0,00000004,000ffffd,29756
00000934,00000002,000ffffd,30044
00000908,00000006,000ffffd,30433
000008c4,00000002,000ffffe,30622
000008a0,0000000c,00080041,30729
000008fc,00000002,000ffffe,30768
0000092c,00000001,000ffffe,30792
000008e8,00000002,000ffffe,30806
0000092c,00000001,000ffffe,30812
0000088c,00000004,000ffffd,30819
00000920,00000008,00080041,31097
000008a4,00000002,000ffffe,31500
00000930,00000002,000ffffe,31705
0000088c,00000004,000ffffd,31810
00000908,00000006,000ffffd,31864
00000934,00000002,000ffffd,32126
000008a4,00000002,000ffffe,32531
00000874,00000007,00080041,32739
00000930,00000002,000ffffe,32836
000008e0,00000004,000ffffd,33129
00000920,00000008,00080041,33279
00000880,00000002,000ffffe,33618
00000908,00000006,000ffffd,33795
00000880,00000002,000ffffe,33878
000008a4,00000002,000ffffe,33922
00000920,00000008,00080041,34190
00000930,00000002,000ffffe,34587
00000880,00000002,000ffffe,34789
00000894,00000002,000ffffe,35162
000008e0,00000004,000ffffd,35351
000008a0,0000000c,00080041,35453
00000894,00000002,000ffffe,35762
00000894,00000002,000ffffe,35922
00000914,00000002,000ffffe,36274
00000920,00000008,00080041,37192
000008d4,00000002,000ffffe,37690
000008f4,000004bb,000801b7,37931
00000880,00000002,000ffffe,38182
000008c4,00000002,000ffffe,38668
00000930,00000002,000ffffe,39151
00000880,00000002,000ffffe,39393
0000088c,00000004,000ffffd,39756
00000894,00000002,000ffffe,39935
00000894,00000002,000ffffe,40026
000008d4,00000002,000ffffe,40072
000008a0,0000000c,00080042,40477
0000088c,00000004,000ffffd,40807
000008fc,00000002,000ffffe,41467
000008f4,000004bb,000801b4,41544
000008a0,0000000c,00080042,41588
00000934,00000002,000ffffd,41634
000008d0,00000014,000800c2,41920
00000908,00000006,000ffffd,42312
000008f4,000004bb,00080185,42455
0000092c,00000001,000ffffe,42782
00000920,00000008,00080042,43027
00000914,00000002,000ffffe,43380
00000914,00000002,000ffffe,43560
00000908,00000006,000ffffd,43894
000008e8,00000002,000ffffe,44327
000008e0,00000004,000ffffd,44548
00000934,00000002,000ffffd,44656
000008a0,0000000c,00080042,44961
0000092c,00000001,000ffffe,45444
00000894,00000002,000ffffe,45890
00000914,00000002,000ffffe,46113
000008c4,00000002,000ffffe,46225
000008f4,000004bb,000801a7,46308
00000894,00000002,000ffffe,46521
000008e8,00000002,000ffffe,46909
000008bc,00000004,000ffffd,47377
000008e8,00000002,000ffffe,47880
000008a0,0000000c,00080042,48143
000008e8,00000002,000ffffe,48260
00000914,00000002,000ffffe,48324
000008f4,0000a57d,0008018f,48570
00000920,00000008,00080042,48602
000008a0,0000000c,00080042,49014
00000934,00000002,000ffffd,49480
00000930,00000002,000ffffe,49990
00000908,00000006,000ffffd,50489
0000088c,00000004,000ffffd,50735
00000914,00000002,000ffffe,51097
00000924,00000001,000ffffe,51518
000008d0,00000014,000800c3,51988
00000894,00000002,000ffffe,52196
00000920,00000008,00080042,52555
000008fc,00000002,000ffffe,52726
0000088c,00000004,000ffffd,52817
000008c4,00000002,000ffffe,52860
000008e0,00000004,000ffffd,52885
0000088c,00000004,000ffffd,52897
00000934,00000002,000ffffd,53173
00000934,00000002,000ffffd,53584
000008bc,00000004,000ffffd,53792
00000880,00000002,000ffffe,54165
